Site Name,Site Type,RTU SN,BLID,Lat,Long,
Apsley,BushLinx,498,74,-36.9241,141.048223,
Ashens,METOS,0120B124,69,-36.73,142.09904,
Beulah,RIMIK,268,8,-36.0162176,142.5417961,
Beulah South,BLX01,787,100,-36.012238,142.305185,
Broughton,BushLinx,421,19,-36.197,141.421,
Bungalally,BushLinx,401,1,-36.818704,142.290523,
Charam,BushLinx,491,47,-36.9268067,141.5155985,
Clearlake,BLX01,1046,51,-36.94701441,142.0744856,
Concongella,OUTPOST,59632,18,-37.01800156,142.8760071,
Crowlands,OUTPOST,76981,85,-37.1624984,143.121002,
Crymelon,METOS,0020DE67,102,-36.1300007,142.1938626,
Deep Lead,BushLinx,501,68,-37.0049804,142.6781529,
Dimboola East,RIMIK,216,14,-36.413,142.106,
Dooen,METOS,0020DE7D,101,-36.58913841,142.3029207,
Dooen 2,RIMIK,269,27,-36.7011733,142.3960908,
Douglas,METOS,0020DE5B,7,-37.03522574,141.7696368,
Edenhope,BushLinx,500,67,-36.8395599,141.2710727,
Edenhope 2,BushLinx,490,46,-37.04143319,141.1586332,
Gerang Gerung,BLX01,910,70,-36.295,141.884,
Gerang Gerung 2,BushLinx,497,76,-36.312917,141.865644,
Glenlee,BLX01,916,35,-36.27489913,141.777107,
Glenlee 3,BLX01,917,65,-36.2325919,141.9572024,
Goroke,BushLinx,400,12,-36.7155695,141.4774592,
Goroke South,BushLinx,413,38,-36.761,141.546,
Great Western,OUTPOST,64641,94,-37.176846,142.888648,
Greenfields Glenlofty,OUTPOST,75740,90,-37.14899826,143.2089996,
Jeparit,BLX01,915,20,-36.13354676,142.0559531,
Jeparit 2,BLX01,907,59,-36.127455,141.881892,
Jeparit 3,BLX01,864,16,-36.127455,141.881892,
Joel Joel,OUTPOST,53863,103,-37.02119827,142.9889984,
Joel South,OUTPOST,59623,22,-37.08800125,142.9880066,
Jung,METOS,0020DE7A,55,-36.6160441,142.1866743,
Kalkee,RIMIK,218,3,-36.5464048,142.1929085,
Kalkee 2,METOS,0020DE65,56,-36.5339833,142.3729856,
Kaniva,BushLinx,443,31,-36.3531624,141.1914659,
Kaniva 3,BushLinx,462,32,-36.257008,141.26903,
Kaniva 4,BushLinx,456,36,-36.324881,141.367449,
Kaniva 5,BushLinx,457,37,-36.343517,141.258216,
Kirkella,OUTPOST,60445,95,-36.95119858,142.8179932,
Lah,RIMIK,267,9,-36.1606011,142.5013558,
Lake fyans,OUTPOST,64645,15,-37.1216011,142.6309967,
Landsborough,OUTPOST,78102,96,-37.01490021,143.0919952,
Langkoop,BushLinx,422,42,-37.087273,141.084717,
Minyip,BLX01,911,66,-36.512308,142.575542,
Mooneys Gap,OUTPOST,78107,92,-37.199352,143.019891,
Mt Cole Creek,OUTPOST,76069,87,-37.20930099,143.1179962,
Mt Dryden,OUTPOST,64649,97,-37.03699875,142.5599976,
Murra Warra,RIMIK,213,2,-36.42763633,142.2733817,
Murtoa,RIMIK,270,28,-36.59912,142.5230542,
Natimuk,BushLinx,414,40,-36.882447,141.629875,
Natimuk 2,BushLinx,416,41,-36.76195,141.871124,
Natimuk 3,BushLinx,415,45,-36.730882,141.985749,
Netherby,BushLinx,461,58,-36.083853,141.675799,
Netherby 2,BLX01,908,62,-36.027,141.664,
Neuarpurr,BushLinx,442,43,-36.765,141.057,
Nhill,BushLinx,407,10,-36.44177004,141.6289401,
Nhill 2,BLX01,906,44,-36.229,141.575,
Noradjuha,BLX01,1045,81,-36.8706931,141.9013829,
Nurcoung,BushLinx,528,72,-36.631886,141.696777,
Ozenkadnook,BushLinx,495,52,-36.864399,141.382911,
Pentlands Creek,OUTPOST,63386,98,-37.18999863,142.7070007,
Peronne,BushLinx,402,39,-36.697956,141.381545,
Pimpinio,METOS,0020EE99,30,-36.5882293,142.1682395,
Rainbow,BushLinx,486,61,-35.8576597,141.9416565,
Rhymney,OUTPOST,64647,17,-37.26100159,142.8110046,
Rupanyup,BLX01,710,13,-36.709537,142.667025,
Serviceton,BLX01,744,99,-36.441277,141.070176,
Stawell Lake Lonsdale,OUTPOST,56719,23,-37.02740097,142.6880035,
Ullswater,BushLinx,496,50,-36.950776,141.383021,
Vectis,METOS,00208DAE,29,-36.7407718,142.0991691,
Wallup,RIMIK,217,4,-36.29163894,142.2186581,
Wallup 2,RIMIK,222,57,-36.36845612,142.2488213,
Warracknabeal,RIMIK,215,6,-36.1812681,142.619128,
Warracknabeal 2,METOS,0020DE59,48,-36.168,142.353,
Warrak,OUTPOST,72306,93,-37.252161,143.152141,
Watchem,BushLinx,499,49,-36.12689618,142.8622538,
Woorak,BLX01,909,71,-36.277822,141.780294,
Yanac,BLX01,913,53,-36.03465078,141.4026756,
